,Date,Open,Close,Change
0,2010-06-29,19.0,23.889999,0.257368
1,2010-06-30,25.790001,23.83,-0.075998
2,2010-07-01,25.0,21.959999,-0.1216
3,2010-07-02,23.0,19.200001,-0.165217
4,2010-07-06,20.0,16.110001,-0.1945
5,2010-07-07,16.4,15.8,-0.036585
6,2010-07-08,16.139999,17.459999,0.081784
7,2010-07-09,17.58,17.4,-0.010239
8,2010-07-12,17.950001,17.049999,-0.050139
9,2010-07-13,17.389999,18.139999,0.043128
10,2010-07-14,17.940001000000002,19.84,0.105909
11,2010-07-15,19.940001000000002,19.889999,-0.002508
12,2010-07-16,20.700001,20.639999,-0.002899
13,2010-07-19,21.370001000000002,21.91,0.025269
14,2010-07-20,21.85,20.299999,-0.070938
15,2010-07-21,20.66,20.219998999999998,-0.021297
16,2010-07-22,20.5,21.0,0.02439
17,2010-07-23,21.190001000000002,21.290001,0.004719
18,2010-07-26,21.5,20.950001,-0.025581
19,2010-07-27,20.91,20.549999,-0.017217
20,2010-07-28,20.549999,20.719998999999998,0.008273
21,2010-07-29,20.77,20.35,-0.020221
22,2010-07-30,20.200001,19.940001000000002,-0.012871
23,2010-08-02,20.5,20.92,0.020488
24,2010-08-03,21.0,21.950001,0.045238
25,2010-08-04,21.950001,21.26,-0.031435
26,2010-08-05,21.540001,20.450001,-0.050604
27,2010-08-06,20.1,19.59,-0.025373
28,2010-08-09,19.9,19.6,-0.015075
29,2010-08-10,19.65,19.030001000000002,-0.031552
30,2010-08-11,18.690001000000002,17.9,-0.042269
31,2010-08-12,17.799999,17.6,-0.011236
32,2010-08-13,18.18,18.32,0.007701
33,2010-08-16,18.450001,18.780001000000002,0.017886
34,2010-08-17,18.959999,19.15,0.010021
35,2010-08-18,19.59,18.77,-0.041858
36,2010-08-19,18.540001,18.790001,0.013484
37,2010-08-20,18.65,19.1,0.024129
38,2010-08-23,19.09,20.129998999999998,0.054479
39,2010-08-24,19.25,19.200001,-0.002597
40,2010-08-25,19.16,19.9,0.038622
41,2010-08-26,19.889999,19.75,-0.007039
42,2010-08-27,19.75,19.700001,-0.002532
43,2010-08-30,19.700001,19.870001000000002,0.008629
44,2010-08-31,19.66,19.48,-0.009156
45,2010-09-01,19.620001000000002,20.450001,0.042304
46,2010-09-02,20.370001000000002,21.059998999999998,0.033873
47,2010-09-03,20.870001000000002,21.049999,0.008625
48,2010-09-07,20.610001,20.540001,-0.003396
49,2010-09-08,20.66,20.9,0.011617
50,2010-09-09,21.0,20.709999,-0.01381
51,2010-09-10,20.75,20.17,-0.027952
52,2010-09-13,20.889999,20.719998999999998,-0.008138
53,2010-09-14,20.540001,21.120001000000002,0.028238
54,2010-09-15,20.98,21.98,0.047664
55,2010-09-16,22.15,20.940001000000002,-0.054627
56,2010-09-17,21.02,20.23,-0.037583
57,2010-09-20,20.67,21.059998999999998,0.018868
58,2010-09-21,20.889999,20.77,-0.005744
59,2010-09-22,20.870001000000002,19.870001000000002,-0.047916
60,2010-09-23,19.889999,19.559998999999998,-0.016591
61,2010-09-24,19.950001,20.1,0.007519
62,2010-09-27,20.4,20.530001000000002,0.006373
63,2010-09-28,21.040001,21.4,0.01711
64,2010-09-29,21.190001000000002,21.98,0.037282
65,2010-09-30,22.0,20.41,-0.072273
66,2010-10-01,20.690001000000002,20.6,-0.00435
67,2010-10-04,20.43,20.99,0.027411
68,2010-10-05,21.15,21.120001000000002,-0.001418
69,2010-10-06,21.059998999999998,20.459999,-0.02849
70,2010-10-07,20.57,20.43,-0.006806
71,2010-10-08,20.43,20.43,0.0
72,2010-10-11,20.440001000000002,20.24,-0.009785
73,2010-10-12,20.200001,20.24,0.00198
74,2010-10-13,20.639999,20.540001,-0.004845
75,2010-10-14,21.0,20.75,-0.011905
76,2010-10-15,20.889999,20.540001,-0.016754
77,2010-10-18,20.52,20.23,-0.014133
78,2010-10-19,20.200001,20.049999,-0.007426
79,2010-10-20,20.16,20.65,0.024306
80,2010-10-21,20.610001,20.75,0.006793
81,2010-10-22,20.68,20.719998999999998,0.001934
82,2010-10-25,20.940001000000002,20.85,-0.004298
83,2010-10-26,20.799999,21.360001,0.026923
84,2010-10-27,21.25,21.0,-0.011765
85,2010-10-28,21.389999,21.190001000000002,-0.00935
86,2010-10-29,21.139999,21.84,0.033113
87,2010-11-01,21.940001000000002,21.41,-0.024157
